Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","121","Lebanon","5110","Area","6610","Agricultural land","2018","2018","1000 ha","658","Fm","Manual Estimation"
"RL","Land Use","122","Lesotho","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2433.3","Fm","Manual Estimation"
"RL","Land Use","123","Liberia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1954.04","Fc","Calculated data"
"RL","Land Use","124","Libya","5110","Area","6610","Agricultural land","2018","2018","1000 ha","15350","Fm","Manual Estimation"
"RL","Land Use","125","Liechtenstein","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5.16","Fm","Manual Estimation"
"RL","Land Use","126","Lithuania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2947","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","256","Luxembourg","5110","Area","6610","Agricultural land","2018","2018","1000 ha","131.559","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","129","Madagascar","5110","Area","6610","Agricultural land","2018","2018","1000 ha","40895","Fm","Manual Estimation"
"RL","Land Use","130","Malawi","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5650","Fm","Manual Estimation"
"RL","Land Use","131","Malaysia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8571","Fm","Manual Estimation"
"RL","Land Use","132","Maldives","5110","Area","6610","Agricultural land","2018","2018","1000 ha","7.9","Fm","Manual Estimation"
"RL","Land Use","133","Mali","5110","Area","6610","Agricultural land","2018","2018","1000 ha","41201","Fm","Manual Estimation"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10.38","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","127","Marshall Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8.6","Fc","Calculated data"
"RL","Land Use","135","Martinique","5110","Area","6610","Agricultural land","2018","2018","1000 ha","31.33","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","136","Mauritania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","39661","Fm","Manual Estimation"
"RL","Land Use","137","Mauritius","5110","Area","6610","Agricultural land","2018","2018","1000 ha","86","Fm","Manual Estimation"
"RL","Land Use","270","Mayotte","5110","Area","6610","Agricultural land","2018","2018","1000 ha","20","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","138","Mexico","5110","Area","6610","Agricultural land","2018","2018","1000 ha","106891","Fm","Manual Estimation"
"RL","Land Use","145","Micronesia (Federated States of)","5110","Area","6610","Agricultural land","2018","2018","1000 ha","22","Fm","Manual Estimation"
"RL","Land Use","141","Mongolia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","113433","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","273","Montenegro","5110","Area","6610","Agricultural land","2018","2018","1000 ha","256.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","142","Montserrat","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3","Fm","Manual Estimation"
"RL","Land Use","143","Morocco","5110","Area","6610","Agricultural land","2018","2018","1000 ha","30069","Fm","Manual Estimation"
"RL","Land Use","144","Mozambique","5110","Area","6610","Agricultural land","2018","2018","1000 ha","41413.832","Fc","Calculated data"
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","2018","2018","1000 ha","12889","Fm","Manual Estimation"
"RL","Land Use","147","Namibia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","38810","Fm","Manual Estimation"
"RL","Land Use","148","Nauru","5110","Area","6610","Agricultural land","2018","2018","1000 ha","0.4","Fm","Manual Estimation"
"RL","Land Use","149","Nepal","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4121","Fm","Manual Estimation"
"RL","Land Use","150","Netherlands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1822","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","153","New Caledonia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","184.03","Fm","Manual Estimation"
"RL","Land Use","156","New Zealand","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10467","Fm","Manual Estimation"
"RL","Land Use","157","Nicaragua","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5065","Fm","Manual Estimation"
"RL","Land Use","158","Niger","5110","Area","6610","Agricultural land","2018","2018","1000 ha","46600","Fm","Manual Estimation"
"RL","Land Use","159","Nigeria","5110","Area","6610","Agricultural land","2018","2018","1000 ha","69123.45","Fc","Calculated data"
"RL","Land Use","160","Niue","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5","Fm","Manual Estimation"
"RL","Land Use","161","Norfolk Island","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1","Fm","Manual Estimation"
"RL","Land Use","154","North Macedonia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1264","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","163","Northern Mariana Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3","Fm","Manual Estimation"
"RL","Land Use","162","Norway","5110","Area","6610","Agricultural land","2018","2018","1000 ha","986.297","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","221","Oman","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1458.89","Fc","Calculated data"
"RL","Land Use","165","Pakistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","36300","Fm","Manual Estimation"
"RL","Land Use","180","Palau","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4.3","Fm","Manual Estimation"
"RL","Land Use","299","Palestine","5110","Area","6610","Agricultural land","2018","2018","1000 ha","463","Fm","Manual Estimation"
"RL","Land Use","166","Panama","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2259","Fm","Manual Estimation"
"RL","Land Use","168","Papua New Guinea","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1190","Fm","Manual Estimation"
"RL","Land Use","169","Paraguay","5110","Area","6610","Agricultural land","2018","2018","1000 ha","21819","Fm","Manual Estimation"
"RL","Land Use","170","Peru","5110","Area","6610","Agricultural land","2018","2018","1000 ha","23608.7","Fm","Manual Estimation"
"RL","Land Use","171","Philippines","5110","Area","6610","Agricultural land","2018","2018","1000 ha","12440","Fm","Manual Estimation"
"RL","Land Use","173","Poland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14512","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","174","Portugal","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3573.99","Fc","Calculated data"
"RL","Land Use","177","Puerto Rico","5110","Area","6610","Agricultural land","2018","2018","1000 ha","168.9","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","179","Qatar","5110","Area","6610","Agricultural land","2018","2018","1000 ha","67","Fm","Manual Estimation"
"RL","Land Use","117","Republic of Korea","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1652","Fm","Manual Estimation"
"RL","Land Use","146","Republic of Moldova","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2257.1","Fc","Calculated data"
"RL","Land Use","182","Réunion","5110","Area","6610","Agricultural land","2018","2018","1000 ha","48.1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","183","Romania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","13414","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","185","Russian Federation","5110","Area","6610","Agricultural land","2018","2018","1000 ha","215494","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1811.7","Fm","Manual Estimation"
"RL","Land Use","187","Saint Helena, Ascension and Tristan da Cunha","5110","Area","6610","Agricultural land","2018","2018","1000 ha","12","Fm","Manual Estimation"
"RL","Land Use","188","Saint Kitts and Nevis","5110","Area","6610","Agricultural land","2018","2018","1000 ha","6","Fm","Manual Estimation"
"RL","Land Use","189","Saint Lucia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10.6","Fm","Manual Estimation"
"RL","Land Use","190","Saint Pierre and Miquelon","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2","Fm","Manual Estimation"
"RL","Land Use","191","Saint Vincent and the Grenadines","5110","Area","6610","Agricultural land","2018","2018","1000 ha","7","Fm","Manual Estimation"
"RL","Land Use","244","Samoa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","75.7","Fm","Manual Estimation"
"RL","Land Use","192","San Marino","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2.3","Fm","Manual Estimation"
"RL","Land Use","193","Sao Tome and Principe","5110","Area","6610","Agricultural land","2018","2018","1000 ha","44","Fm","Manual Estimation"
"RL","Land Use","194","Saudi Arabia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","173629","Fm","Manual Estimation"
"RL","Land Use","195","Senegal","5110","Area","6610","Agricultural land","2018","2018","1000 ha","8878","Fm","Manual Estimation"
"RL","Land Use","272","Serbia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3464","Fc","Calculated data"
"RL","Land Use","196","Seychelles","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1.55","Fm","Manual Estimation"
"RL","Land Use","197","Sierra Leone","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3949","Fm","Manual Estimation"
"RL","Land Use","200","Singapore","5110","Area","6610","Agricultural land","2018","2018","1000 ha","0.66","Fm","Manual Estimation"
"RL","Land Use","199","Slovakia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1889","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","198","Slovenia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","612","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","25","Solomon Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","117","Fm","Manual Estimation"
"RL","Land Use","201","Somalia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","44125","Fm","Manual Estimation"
"RL","Land Use","202","South Africa","5110","Area","6610","Agricultural land","2018","2018","1000 ha","96341","Fm","Manual Estimation"
"RL","Land Use","277","South Sudan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","28533.2","Fm","Manual Estimation"
"RL","Land Use","203","Spain","5110","Area","6610","Agricultural land","2018","2018","1000 ha","26183.3239","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","38","Sri Lanka","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2811.6","Fm","Manual Estimation"
"RL","Land Use","276","Sudan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","68186.16","Fm","Manual Estimation"
"RL","Land Use","207","Suriname","5110","Area","6610","Agricultural land","2018","2018","1000 ha","84","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","210","Sweden","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3009","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","211","Switzerland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1510.0756","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6610","Agricultural land","2018","2018","1000 ha","13921","Fm","Manual Estimation"
"RL","Land Use","208","Tajikistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4727.7","Fm","Manual Estimation"
"RL","Land Use","216","Thailand","5110","Area","6610","Agricultural land","2018","2018","1000 ha","22110","Fm","Manual Estimation"
"RL","Land Use","176","Timor-Leste","5110","Area","6610","Agricultural land","2018","2018","1000 ha","380","Fm","Manual Estimation"
"RL","Land Use","217","Togo","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3820","Fm","Manual Estimation"
"RL","Land Use","218","Tokelau","5110","Area","6610","Agricultural land","2018","2018","1000 ha","0.6","Fm","Manual Estimation"
"RL","Land Use","219","Tonga","5110","Area","6610","Agricultural land","2018","2018","1000 ha","35","Fm","Manual Estimation"
"RL","Land Use","220","Trinidad and Tobago","5110","Area","6610","Agricultural land","2018","2018","1000 ha","54","Fm","Manual Estimation"
"RL","Land Use","222","Tunisia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9743","Fm","Manual Estimation"
"RL","Land Use","223","Turkey","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37802","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","213","Turkmenistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","33838","Fm","Manual Estimation"
"RL","Land Use","224","Turks and Caicos Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1","Fm","Manual Estimation"
"RL","Land Use","227","Tuvalu","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1.8","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","230","Ukraine","5110","Area","6610","Agricultural land","2018","2018","1000 ha","41329","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","225","United Arab Emirates","5110","Area","6610","Agricultural land","2018","2018","1000 ha","381.75","Fm","Manual Estimation"
"RL","Land Use","229","United Kingdom of Great Britain and Northern Ireland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","17350.8616","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","215","United Republic of Tanzania","5110","Area","6610","Agricultural land","2018","2018","1000 ha","39650","Fm","Manual Estimation"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","2018","2018","1000 ha","405810.3538","Fm","Manual Estimation"
"RL","Land Use","240","United States Virgin Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4","Fm","Manual Estimation"
"RL","Land Use","234","Uruguay","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14015.9","Fm","Manual Estimation"
"RL","Land Use","235","Uzbekistan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","25577.7","Fm","Manual Estimation"
"RL","Land Use","155","Vanuatu","5110","Area","6610","Agricultural land","2018","2018","1000 ha","187","Fm","Manual Estimation"
"RL","Land Use","236","Venezuela (Bolivarian Republic of)","5110","Area","6610","Agricultural land","2018","2018","1000 ha","21500","Fm","Manual Estimation"
"RL","Land Use","237","Viet Nam","5110","Area","6610","Agricultural land","2018","2018","1000 ha","12168.8","Fm","Manual Estimation"
"RL","Land Use","243","Wallis and Futuna Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","6","Fm","Manual Estimation"
"RL","Land Use","205","Western Sahara","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5004","Fm","Manual Estimation"
"RL","Land Use","249","Yemen","5110","Area","6610","Agricultural land","2018","2018","1000 ha","23387.7","Fm","Manual Estimation"
"RL","Land Use","251","Zambia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","23836","Fm","Manual Estimation"
"RL","Land Use","181","Zimbabwe","5110","Area","6610","Agricultural land","2018","2018","1000 ha","16200","Fm","Manual Estimation"
